Antecedents,Consequents,Confidence
500000658,500000656,0.79126213592233
500000079,500000081,0.6047904191616766
500000081,500000079,0.814516129032258
500000364,500000066,0.6826923076923077
"500000066,500000032",500000024,0.6666666666666666
"500000066,500000364",500000090,0.6478873239436619
"500000090,500000364",500000066,0.8214285714285714
"500000319,500000032",500000024,0.7017543859649122
500000092,500000024,0.6140350877192983
"500000079,500000032",500000024,0.627450980392157
"500000079,500000066",500000024,0.6037735849056604
"500000658,500000066",500000656,0.6666666666666666
"500000547,500000032",500000024,0.8181818181818181
"500000081,500000066",500000079,0.8387096774193548
500000659,500000656,0.7575757575757576
"500000081,500000090",500000079,0.8888888888888888
"500000600,500000032",500000024,0.6857142857142857
"500000600,500000658",500000656,0.8571428571428571
"500000600,500000656",500000658,0.631578947368421
"500000081,500000656",500000079,0.7666666666666667
"500000081,500000024",500000079,0.7096774193548386
500000659,500000658,0.6666666666666666
"500000547,500000066",500000024,0.65625
"500000024,500000590",500000032,0.6060606060606061
"500000590,500000032",500000024,0.8695652173913044
"500000319,500000066,500000032",500000024,0.7692307692307693
"500000081,500000032",500000079,0.7599999999999999
"500000656,500000364",500000066,0.7307692307692307
"500000079,500000066,500000032",500000024,0.75
"500000092,500000032",500000024,0.782608695652174
"500000319,500000658",500000656,0.8181818181818181
"500000658,500000659",500000656,0.7727272727272727
"500000656,500000659",500000658,0.6799999999999999
"500000590,500000066",500000024,1.0
"500000079,500000547",500000024,1.0
"500000656,500000364",500000658,0.6153846153846154
